model,rmse_mean,rmse_std,mae_mean,mae_std
Linear Model,10.991982164941096,6.21248949521734,8.655482618603047,4.697007067884106
Residual Neural Network,0.32641413588554513,0.34559922221097333,0.20722302809701168,0.22380606042239778
